School_ID,NAME_OF_SCHOOL,"Elementary, Middle, or High School",HEALTHY_SCHOOL_CERTIFIED,Safety_Icon,SAFETY_SCORE,Family_Involvement_Icon,Family_Involvement_Score,Environment_Icon,Environment_Score,Instruction_Icon,Instruction_Score,Leaders_Icon,Leaders_Score,Teachers_Icon,Teachers_Score,AVERAGE_STUDENT_ATTENCE,COLLEGE_ENROLLMENT,COMMUNITY_AREA_NUMBER
610062,George B McClellan Elementary School,ES,FALSE,Average,49,,,Weak,33,Average,40,Weak,,,,93.20%,283,60
610196,George B Swift Elementary Specialty School,ES,FALSE,Strong,61,Average,53,Strong,62,Strong,60,Weak,61,Average,59,96.30%,709,77
609849,George F Cassell Elementary School,ES,FALSE,Strong,76,Strong,67,Average,57,Weak,36,Weak,66,Strong,61,94.40%,358,74
609761,George H Corliss High School,HS,FALSE,Weak,33,Average,52,Average,40,Average,48,Weak,48,Average,54,71.30%,621,50
610305,George Leland Elementary School,ES,FALSE,,,Strong,71,,,,,Weak,68,Strong,77,92.60%,182,25
610048,George Manierre Elementary School,ES,FALSE,Average,43,,,Average,49,Average,40,Weak,,,,91.00%,396,8
610139,George M Pullman Elementary School,ES,FALSE,Average,59,,,Strong,66,Strong,75,Weak,,,,93.50%,259,50
609795,George Rogers Clark Elementary School,ES,FALSE,Weak,39,,,Weak,32,Weak,36,Weak,,,,93.90%,297,25
609760,George Washington Carver Military Academy High School,HS,FALSE,Average,53,,,Weak,37,Weak,34,Weak,,,,91.60%,532,54
609845,George Washington Carver Primary School,ES,FALSE,Weak,25,,,Weak,33,Weak,30,Weak,,,,90.90%,546,54
610219,George Washington Elementary School,ES,FALSE,Average,58,Strong,61,Weak,33,Average,43,Weak,80,Strong,76,95.50%,813,52
609739,George Washington High School,HS,FALSE,Average,46,Average,53,Weak,36,Weak,36,Weak,52,Average,46,80.20%,1524,52
609900,George W Curtis Elementary School,ES,FALSE,Weak,23,,,Average,43,Average,58,Weak,,,,93.80%,504,49
609693,George Westinghouse High School,HS,FALSE,Strong,74,Strong,72,Strong,77,Very Strong,80,Weak,86,Strong,71,93.60%,828,23
610202,George W Tilton Elementary School,ES,FALSE,Very Weak,6,Weak,25,Weak,30,Average,41,Weak,25,Average,44,91.40%,321,26
609920,Gerald Delgado Kanoon Elementary Magnet School,ES,FALSE,Average,44,Weak,37,Average,48,Average,48,Weak,61,Average,43,95.90%,713,30
610187,Graeme Stewart Elementary School,ES,FALSE,Average,49,,,Average,46,Average,57,Weak,,,,95.20%,280,3
610285,Granville T Woods Math & Science Academy Elementary School,ES,FALSE,Weak,35,,,Average,43,Weak,31,Weak,,,,91.90%,402,67
610383,Greater Lawle High School For Social Justice,HS,FALSE,Average,43,Strong,72,Average,46,Average,44,Weak,81,Strong,65,87.50%,371,30
609857,Grover Cleveland Elementary School,ES,FALSE,Strong,64,Average,43,Average,58,Average,47,Weak,51,Average,44,95.00%,688,16
610241,Guglielmo Marconi Elementary Community Academy,ES,FALSE,Weak,26,,,Strong,65,Strong,76,Weak,,,,91.50%,245,26
609741,Gurdon S Hubbard High School,HS,FALSE,Average,42,,,Weak,34,Weak,29,Weak,,,,89.30%,1672,65
609726,Gwendolyn Brooks College Preparatory Academy High School,HS,FALSE,Strong,64,,,Average,44,Average,49,Weak,,,,87.10%,783,49
610182,Hannah G Solomon Elementary School,ES,FALSE,Strong,78,Very Strong,96,Strong,67,Strong,62,Weak,75,Strong,62,95.80%,363,13
610068,Hanson Park Elementary School,ES,FALSE,Weak,35,,,Weak,34,Weak,33,Weak,,,,95.00%,1499,19
610124,Harold Washington Elementary School,ES,FALSE,Weak,28,,,Average,45,Strong,63,Weak,,,,96.10%,549,47
610192,Harriet Beecher Stowe Elementary School,ES,FALSE,Weak,28,,,Weak,26,Weak,31,Weak,,,,93.80%,893,23
